,id,amount_ethereum,amount_dollars,transaction_date
420,8279,6.90Ξ,"($9,349)","Jan 26, 2021"
421,8279,2.90Ξ,($992),"Sep 22, 2020"
422,8279,1.50Ξ,($312),"May 22, 2020"
423,8280,28.69Ξ,"($53,896)","Mar 15, 2021"
424,8280,6.75Ξ,"($7,720)","Jan 06, 2021"
425,8280,6Ξ,"($2,104)","Oct 03, 2020"
426,8280,5.50Ξ,"($1,973)","Sep 30, 2020"
427,8280,0.05Ξ,($28),"May 30, 2018"
428,8282,42.67Ξ,"($125,935)","May 03, 2021"
429,8282,27.99Ξ,"($57,228)","Apr 03, 2021"
430,8282,42Ξ,"($74,440)","Feb 22, 2021"
431,8282,0.79Ξ,($105),"Mar 11, 2019"
432,8282,0.50Ξ,($102),"Jul 25, 2017"
433,8284,12Ξ,"($15,605)","Jan 27, 2021"
434,8284,6Ξ,"($8,389)","Jan 25, 2021"
435,8284,2Ξ,($619),"Jun 28, 2019"
436,8284,0.57Ξ,($96),"May 07, 2019"
437,8285,23.25Ξ,"($43,713)","Mar 14, 2021"
438,8285,20.95Ξ,"($30,685)","Feb 27, 2021"
439,8285,20.49Ξ,"($31,416)","Feb 25, 2021"
440,8285,2.99Ξ,"($1,061)","Sep 25, 2020"
441,8285,2.20Ξ,($740),"Sep 24, 2020"
442,8285,1.90Ξ,($717),"Sep 14, 2020"
443,8285,0.25Ξ,($38),"Nov 23, 2019"
444,8287,23.97Ξ,"($66,338)","Apr 29, 2021"
445,8288,19.84Ξ,"($42,414)","Jul 11, 2021"
446,8288,23.10Ξ,"($73,294)","May 03, 2021"
447,8288,0.43Ξ,($57),"Dec 30, 2019"
448,8288,0.10Ξ,($30),"Sep 01, 2018"
449,8289,0.10Ξ,($48),"Jul 18, 2018"
450,8291,0.16Ξ,($36),"Jul 18, 2017"
451,8292,16Ξ,"($37,832)","Jun 13, 2021"
452,8294,25.04Ξ,"($61,901)","Apr 17, 2021"
453,8294,25Ξ,"($62,016)","Apr 17, 2021"
454,8298,20Ξ,"($36,473)","Mar 31, 2021"
455,8298,32Ξ,"($57,068)","Feb 22, 2021"
456,8298,1Ξ,($166),"Jan 15, 2020"
457,8298,0.10Ξ,($37),"Nov 20, 2017"
458,8299,65.64Ξ,"($145,811)","Jul 05, 2021"
459,8299,60Ξ,"($135,156)","May 29, 2021"
460,8299,79.99Ξ,"($148,243)","Mar 20, 2021"
461,8300,0.70Ξ,($116),"Apr 24, 2019"
462,8300,0.05Ξ,($19),"Apr 04, 2018"
463,8301,0.14Ξ,($29),"Oct 23, 2018"
464,8302,37.99Ξ,"($73,072)","Jul 15, 2021"
465,8302,32Ξ,"($73,694)","Apr 14, 2021"
466,8302,5.99Ξ,"($3,766)","Dec 22, 2020"
467,8302,5Ξ,"($1,889)","Oct 15, 2020"
468,8302,4Ξ,"($1,445)","Oct 09, 2020"
469,8302,0.25Ξ,($45),"Sep 08, 2019"
470,8303,9Ξ,"($11,133)","Jan 27, 2021"
471,8303,1.50Ξ,($305),"May 22, 2020"
472,8305,46Ξ,"($88,250)","Feb 18, 2021"
473,8306,18Ξ,"($49,802)","Jun 05, 2021"
474,8307,40Ξ,"($14,470)","Oct 01, 2020"
475,8307,58.50Ξ,"($21,021)","Sep 28, 2020"
