,id,total_sold,avg_sold_price,max_sold_price,types,rarity,skin,traits,total_traits,marcador
9113,9113,4.0,15.717500000000001,28.0,Male,5308,Albino,"Cigarette,Frown,Frumpy Hair,Shadow Beard",4,1
9114,9114,3.0,1.0233333333333334,1.1,Male,9439,Light,"Earring,Frumpy Hair,Mole",3,1
9117,9117,15.0,4.760666666666667,21.5,Male,6849,Light,"Earring,Mohawk Thin,Normal Beard Black",3,1
9119,9119,2.0,27.0,32.0,Male,7473,Albino,"Classic Shades,Do-rag,Shadow Beard",3,1
9123,9123,1.0,0.25,0.25,Male,9341,Dark,"Eye Patch,Frumpy Hair,Shadow Beard",3,1
9124,9124,2.0,11.625,23.0,Male,2911,Dark,"Classic Shades,Shadow Beard,Shaved Head,Silver Chain",4,1
9125,9125,2.0,22.95,39.9,Female,1496,Mid,"Big Shades,Clown Nose,Wild Blonde",3,1
9126,9126,6.0,8.006666666666666,28.0,Female,8403,Mid,"Clown Eyes Green,Earring,Frumpy Hair,Purple Lipstick",4,1
9131,9131,1.0,0.15,0.15,Female,8791,Light,"Black Lipstick,Crazy Hair,Earring",3,1
9132,9132,4.0,2.2750000000000004,4.9,Male,9312,Dark,"Cigarette,Earring,Mohawk",3,1
9135,9135,1.0,23.97,23.97,Male,6126,Albino,"Chinstrap,Do-rag,Small Shades",3,1
9136,9136,3.0,32.32,37.99,Female,2443,Light,"Gold Chain,Purple Lipstick,Straight Hair Dark",3,1
9138,9138,5.0,5.9079999999999995,24.99,Male,5530,Dark,"Big Shades,Handlebars,Headband",3,1
9139,9139,1.0,22.97,22.97,Male,9015,Mid,"Earring,Mohawk Dark,Mole,Nerd Glasses",4,1
9140,9140,1.0,4.59,4.59,Male,6544,Dark,"Luxurious Beard,Stringy Hair",2,1
9141,9141,2.0,19.744999999999997,20.49,Male,6196,Light,"Chinstrap,Crazy Hair",2,1
9142,9142,3.0,9.996666666666668,21.89,Male,7343,Dark,"Classic Shades,Earring,Goat,Messy Hair",4,1
9143,9143,7.0,14.65142857142857,23.99,Male,2112,Dark,"Earring,Goat,Vampire Hair",3,1
9145,9145,1.0,19.0,19.0,Female,1017,Light,Rosy Cheeks,1,1
9149,9149,2.0,1.5,2.5,Female,1231,Mid,"Cigarette,Purple Eye Shadow,Wild White Hair",3,1
9150,9150,1.0,30.0,30.0,Male,1837,Dark,"Big Beard,Crazy Hair",2,1
9152,9152,6.0,16.075,23.99,Female,3086,Light,"Black Lipstick,Cigarette,Dark Hair",3,1
9155,9155,3.0,2.263333333333333,4.75,Male,6936,Light,"Nerd Glasses,Normal Beard,Peak Spike",3,1
9157,9157,4.0,7.27,17.5,Male,9738,Dark,"Earring,Eye Patch,Shadow Beard,Stringy Hair",4,1
9158,9158,2.0,9.0,10.0,Male,3833,Light,"Big Shades,Fedora,Goat",3,1
9159,9159,3.0,45.593333333333334,79.99,Male,4965,Mid,"Hoodie,Nerd Glasses,Shadow Beard",3,1
9160,9160,4.0,45.222500000000004,100.0,Female,149,Mid,"Black Lipstick,Medical Mask,Pilot Helmet",3,1
9161,9161,2.0,18.439999999999998,19.88,Male,7071,Light,"Bandana,Normal Beard,Regular Shades",3,1
9162,9162,8.0,3.1449999999999996,7.5,Male,1015,Light,"Cigarette,Front Beard Dark,Rosy Cheeks",3,1
9163,9163,2.0,2.25,3.4,Female,9936,Mid,"Bandana,Black Lipstick,Earring,Nerd Glasses",4,1
