id,type_id,rarity,skin_id,total_traits,total_hidden_traits
976,4,6994,4,2,0
977,5,1653,7,2,0
978,5,3727,6,2,0
979,4,8087,4,1,0
980,4,6376,6,3,0
981,5,9035,7,2,0
982,4,6152,7,3,0
983,5,1686,5,2,0
984,5,9711,7,2,0
985,5,9736,7,2,0
986,5,2310,7,2,0
987,4,4265,5,4,1
988,3,557,3,2,0
989,5,2402,6,2,0
990,4,6586,7,2,0
991,5,9850,7,2,0
992,5,3668,7,3,0
993,5,1955,4,2,0
994,4,9645,6,4,0
995,5,920,4,4,0
996,4,6106,7,4,0
997,5,5340,6,3,0
998,5,2638,6,2,0
999,4,362,5,4,0
1000,4,6942,5,3,0
1001,5,996,5,3,0
1002,4,6342,7,3,0
1003,4,8057,4,1,0
1004,4,9424,6,2,0
1005,5,9690,5,2,0
1006,4,3242,6,2,0
1007,4,9521,5,2,0
1008,4,2272,6,3,0
1009,4,4635,5,3,0
1010,4,6367,6,2,0
1011,5,715,6,3,1
1012,5,9868,4,2,0
1013,4,9092,7,2,0
1014,4,3860,4,2,0
1015,4,4637,5,2,0
1016,5,2966,5,2,0
1017,4,360,7,4,0
1018,4,816,5,3,0
1019,4,785,6,2,0
1020,4,6179,5,3,0
1021,4,3466,4,4,0
1022,2,47,2,2,0
1023,4,9275,7,2,0
1024,5,8696,5,2,0
1025,5,8554,5,4,1
1026,4,10000,7,2,0
1027,4,7669,7,3,0
1028,4,4805,5,3,0
1029,4,9208,6,2,0
1030,4,4441,5,2,0
1031,4,3848,7,2,0
1032,4,4717,7,2,0
1033,5,2653,6,2,0
1034,5,9718,6,2,0
1035,4,4872,7,4,1
1036,5,9562,5,2,0
1037,4,9115,6,2,0
1038,5,267,7,2,0
1039,5,1645,6,3,0
1040,5,8563,5,3,0
1041,5,9067,5,2,0
1042,5,5335,4,4,0
1043,5,2250,6,2,0
1044,5,3685,7,3,0
1045,4,4449,6,2,0
1046,4,7594,4,2,0
1047,5,1728,7,3,0
1048,4,8061,6,1,0
1049,4,5166,7,2,0
1050,4,4326,6,2,0
1051,5,8,7,0,0
1052,5,3718,6,3,0
1053,5,9969,5,3,0
1054,4,1775,4,3,0
1055,4,7357,6,3,0
1056,5,1664,4,3,0
1057,4,5499,5,2,0
1058,4,5153,7,2,0
1059,4,6803,6,2,0
1060,4,9401,7,3,0
1061,4,1415,6,2,0
1062,4,9611,6,2,0
